Summary for Run #1: S1 = 611; S2 = 656; S3 = 243
Summary for Run #2: S1 = 670; S2 = 684; S3 = 194
Summary for Run #3: S1 = 626; S2 = 685; S3 = 222
Summary for Run #4: S1 = 630; S2 = 660; S3 = 242
Summary for Run #5: S1 = 589; S2 = 669; S3 = 216
Summary for Run #6: S1 = 606; S2 = 657; S3 = 231
Summary for Run #7: S1 = 590; S2 = 674; S3 = 232
Summary for Run #8: S1 = 648; S2 = 629; S3 = 213
Summary for Run #9: S1 = 624; S2 = 689; S3 = 194
Summary for Run #10: S1 = 595; S2 = 668; S3 = 224
Summary for Run #11: S1 = 606; S2 = 635; S3 = 238
Summary for Run #12: S1 = 620; S2 = 678; S3 = 199
Summary for Run #13: S1 = 593; S2 = 669; S3 = 227
Summary for Run #14: S1 = 645; S2 = 672; S3 = 191
Summary for Run #15: S1 = 646; S2 = 648; S3 = 231
Summary for Run #16: S1 = 624; S2 = 667; S3 = 210
Summary for Run #17: S1 = 606; S2 = 647; S3 = 218
Summary for Run #18: S1 = 606; S2 = 673; S3 = 209
Summary for Run #19: S1 = 617; S2 = 679; S3 = 214
Summary for Run #20: S1 = 580; S2 = 645; S3 = 239
Summary for Run #21: S1 = 582; S2 = 666; S3 = 234
Summary for Run #22: S1 = 624; S2 = 667; S3 = 209
Summary for Run #23: S1 = 592; S2 = 683; S3 = 216
Summary for Run #24: S1 = 612; S2 = 699; S3 = 219
Summary for Run #25: S1 = 589; S2 = 667; S3 = 214
Summary for Run #26: S1 = 624; S2 = 680; S3 = 224
Summary for Run #27: S1 = 640; S2 = 653; S3 = 207
Summary for Run #28: S1 = 616; S2 = 667; S3 = 226
Summary for Run #29: S1 = 638; S2 = 646; S3 = 224
Summary for Run #30: S1 = 603; S2 = 697; S3 = 211
Summary for Run #31: S1 = 588; S2 = 682; S3 = 230
Summary for Run #32: S1 = 606; S2 = 676; S3 = 212
Summary for Run #33: S1 = 589; S2 = 663; S3 = 238
Summary for Run #34: S1 = 584; S2 = 666; S3 = 224
Summary for Run #35: S1 = 648; S2 = 678; S3 = 215
Summary for Run #36: S1 = 642; S2 = 641; S3 = 237
Summary for Run #37: S1 = 605; S2 = 654; S3 = 215
Summary for Run #38: S1 = 604; S2 = 708; S3 = 209
Summary for Run #39: S1 = 564; S2 = 705; S3 = 211
Summary for Run #40: S1 = 594; S2 = 654; S3 = 221
Summary for Run #41: S1 = 614; S2 = 665; S3 = 224
Summary for Run #42: S1 = 592; S2 = 684; S3 = 232
Summary for Run #43: S1 = 659; S2 = 657; S3 = 228
Summary for Run #44: S1 = 618; S2 = 665; S3 = 201
Summary for Run #45: S1 = 653; S2 = 664; S3 = 226
Summary for Run #46: S1 = 645; S2 = 662; S3 = 209
Summary for Run #47: S1 = 638; S2 = 664; S3 = 222
Summary for Run #48: S1 = 620; S2 = 708; S3 = 212
Summary for Run #49: S1 = 609; S2 = 649; S3 = 237
Summary for Run #50: S1 = 642; S2 = 670; S3 = 220
Summary for Run #51: S1 = 679; S2 = 645; S3 = 222
Summary for Run #52: S1 = 581; S2 = 689; S3 = 230
Summary for Run #53: S1 = 624; S2 = 651; S3 = 228
Summary for Run #54: S1 = 638; S2 = 635; S3 = 235
Summary for Run #55: S1 = 583; S2 = 675; S3 = 212
Summary for Run #56: S1 = 640; S2 = 709; S3 = 196
Summary for Run #57: S1 = 674; S2 = 653; S3 = 245
Summary for Run #58: S1 = 642; S2 = 667; S3 = 220
Summary for Run #59: S1 = 610; S2 = 686; S3 = 219
Summary for Run #60: S1 = 626; S2 = 668; S3 = 229
Summary for Run #61: S1 = 619; S2 = 665; S3 = 208
Summary for Run #62: S1 = 625; S2 = 656; S3 = 226
Summary for Run #63: S1 = 627; S2 = 654; S3 = 233
Summary for Run #64: S1 = 642; S2 = 647; S3 = 237
Summary for Run #65: S1 = 618; S2 = 656; S3 = 234
Summary for Run #66: S1 = 630; S2 = 661; S3 = 255
Summary for Run #67: S1 = 603; S2 = 672; S3 = 227
Summary for Run #68: S1 = 618; S2 = 651; S3 = 219
Summary for Run #69: S1 = 603; S2 = 681; S3 = 209
Summary for Run #70: S1 = 606; S2 = 673; S3 = 214
Summary for Run #71: S1 = 602; S2 = 665; S3 = 220
Summary for Run #72: S1 = 659; S2 = 650; S3 = 223
Summary for Run #73: S1 = 624; S2 = 673; S3 = 239
Summary for Run #74: S1 = 624; S2 = 661; S3 = 217
Summary for Run #75: S1 = 641; S2 = 673; S3 = 213
Summary for Run #76: S1 = 589; S2 = 663; S3 = 219
Summary for Run #77: S1 = 595; S2 = 675; S3 = 213
Summary for Run #78: S1 = 625; S2 = 674; S3 = 220
Summary for Run #79: S1 = 606; S2 = 680; S3 = 205
Summary for Run #80: S1 = 621; S2 = 694; S3 = 218
Summary for Run #81: S1 = 622; S2 = 682; S3 = 204
Summary for Run #82: S1 = 661; S2 = 667; S3 = 217
Summary for Run #83: S1 = 629; S2 = 677; S3 = 217
Summary for Run #84: S1 = 634; S2 = 641; S3 = 245
Summary for Run #85: S1 = 601; S2 = 688; S3 = 234
Summary for Run #86: S1 = 599; S2 = 679; S3 = 224
Summary for Run #87: S1 = 643; S2 = 683; S3 = 217
Summary for Run #88: S1 = 602; S2 = 687; S3 = 214
Summary for Run #89: S1 = 657; S2 = 660; S3 = 229
Summary for Run #90: S1 = 606; S2 = 668; S3 = 218
Summary for Run #91: S1 = 648; S2 = 682; S3 = 204
Summary for Run #92: S1 = 618; S2 = 666; S3 = 217
Summary for Run #93: S1 = 589; S2 = 679; S3 = 225
Summary for Run #94: S1 = 634; S2 = 692; S3 = 202
Summary for Run #95: S1 = 626; S2 = 655; S3 = 223
Summary for Run #96: S1 = 618; S2 = 676; S3 = 232
Summary for Run #97: S1 = 598; S2 = 644; S3 = 236
Summary for Run #98: S1 = 613; S2 = 665; S3 = 230
Summary for Run #99: S1 = 657; S2 = 698; S3 = 215
Summary for Run #100: S1 = 562; S2 = 681; S3 = 225
Summary for Run #101: S1 = 587; S2 = 671; S3 = 216
Summary for Run #102: S1 = 644; S2 = 667; S3 = 227
Summary for Run #103: S1 = 649; S2 = 629; S3 = 212
Summary for Run #104: S1 = 592; S2 = 685; S3 = 222
Summary for Run #105: S1 = 611; S2 = 653; S3 = 235
Summary for Run #106: S1 = 592; S2 = 688; S3 = 233
Summary for Run #107: S1 = 635; S2 = 700; S3 = 219
Summary for Run #108: S1 = 622; S2 = 678; S3 = 206
Summary for Run #109: S1 = 640; S2 = 676; S3 = 241
Summary for Run #110: S1 = 626; S2 = 663; S3 = 213
Summary for Run #111: S1 = 646; S2 = 667; S3 = 241
Summary for Run #112: S1 = 630; S2 = 693; S3 = 228
Summary for Run #113: S1 = 588; S2 = 670; S3 = 209
Summary for Run #114: S1 = 626; S2 = 666; S3 = 223
Summary for Run #115: S1 = 602; S2 = 694; S3 = 236
Summary for Run #116: S1 = 584; S2 = 649; S3 = 237
Summary for Run #117: S1 = 614; S2 = 677; S3 = 224
Summary for Run #118: S1 = 591; S2 = 675; S3 = 243
Summary for Run #119: S1 = 603; S2 = 691; S3 = 214
Summary for Run #120: S1 = 620; S2 = 679; S3 = 230
Summary for Run #121: S1 = 612; S2 = 640; S3 = 235
Summary for Run #122: S1 = 612; S2 = 674; S3 = 224
Summary for Run #123: S1 = 611; S2 = 673; S3 = 219
Summary for Run #124: S1 = 588; S2 = 680; S3 = 230
Summary for Run #125: S1 = 594; S2 = 691; S3 = 218
Summary for Run #126: S1 = 589; S2 = 685; S3 = 223
Summary for Run #127: S1 = 670; S2 = 652; S3 = 224
Summary for Run #128: S1 = 622; S2 = 669; S3 = 201
Summary for Run #129: S1 = 618; S2 = 677; S3 = 216
Summary for Run #130: S1 = 630; S2 = 675; S3 = 195
Summary for Run #131: S1 = 631; S2 = 639; S3 = 224
Summary for Run #132: S1 = 657; S2 = 671; S3 = 205
Summary for Run #133: S1 = 608; S2 = 684; S3 = 207
Summary for Run #134: S1 = 646; S2 = 692; S3 = 206
Summary for Run #135: S1 = 600; S2 = 671; S3 = 222
Summary for Run #136: S1 = 608; S2 = 663; S3 = 217
Summary for Run #137: S1 = 599; S2 = 673; S3 = 230
Summary for Run #138: S1 = 624; S2 = 667; S3 = 211
Summary for Run #139: S1 = 627; S2 = 678; S3 = 243
Summary for Run #140: S1 = 656; S2 = 625; S3 = 234
Summary for Run #141: S1 = 634; S2 = 650; S3 = 237
Summary for Run #142: S1 = 642; S2 = 643; S3 = 217
Summary for Run #143: S1 = 575; S2 = 664; S3 = 234
Summary for Run #144: S1 = 634; S2 = 682; S3 = 219
Summary for Run #145: S1 = 584; S2 = 654; S3 = 215
Summary for Run #146: S1 = 587; S2 = 676; S3 = 231
Summary for Run #147: S1 = 630; S2 = 670; S3 = 229
Summary for Run #148: S1 = 637; S2 = 680; S3 = 218
Summary for Run #149: S1 = 595; S2 = 667; S3 = 224
Summary for Run #150: S1 = 615; S2 = 661; S3 = 238
Summary for Run #151: S1 = 628; S2 = 637; S3 = 253
Summary for Run #152: S1 = 605; S2 = 669; S3 = 230
Summary for Run #153: S1 = 618; S2 = 672; S3 = 194
Summary for Run #154: S1 = 643; S2 = 658; S3 = 236
Summary for Run #155: S1 = 612; S2 = 679; S3 = 225
Summary for Run #156: S1 = 616; S2 = 647; S3 = 225
Summary for Run #157: S1 = 617; S2 = 668; S3 = 231
Summary for Run #158: S1 = 587; S2 = 690; S3 = 213
Summary for Run #159: S1 = 608; S2 = 635; S3 = 259
Summary for Run #160: S1 = 624; S2 = 694; S3 = 232
Summary for Run #161: S1 = 615; S2 = 662; S3 = 222
Summary for Run #162: S1 = 582; S2 = 670; S3 = 241
Summary for Run #163: S1 = 629; S2 = 656; S3 = 230
Summary for Run #164: S1 = 627; S2 = 681; S3 = 202
Summary for Run #165: S1 = 632; S2 = 672; S3 = 220
Summary for Run #166: S1 = 578; S2 = 690; S3 = 209
Summary for Run #167: S1 = 610; S2 = 690; S3 = 211
Summary for Run #168: S1 = 632; S2 = 659; S3 = 206
Summary for Run #169: S1 = 613; S2 = 681; S3 = 224
Summary for Run #170: S1 = 565; S2 = 679; S3 = 215
Summary for Run #171: S1 = 609; S2 = 686; S3 = 215
Summary for Run #172: S1 = 593; S2 = 675; S3 = 227
Summary for Run #173: S1 = 659; S2 = 662; S3 = 212
Summary for Run #174: S1 = 653; S2 = 670; S3 = 206
Summary for Run #175: S1 = 647; S2 = 653; S3 = 217
Summary for Run #176: S1 = 611; S2 = 681; S3 = 226
Summary for Run #177: S1 = 605; S2 = 680; S3 = 195
Summary for Run #178: S1 = 623; S2 = 676; S3 = 195
Summary for Run #179: S1 = 562; S2 = 700; S3 = 210
Summary for Run #180: S1 = 648; S2 = 680; S3 = 218
Summary for Run #181: S1 = 646; S2 = 674; S3 = 216
Summary for Run #182: S1 = 660; S2 = 646; S3 = 212
Summary for Run #183: S1 = 595; S2 = 645; S3 = 232
Summary for Run #184: S1 = 628; S2 = 670; S3 = 236
